time,temp,prec
633279600,1.3,0.0
633283200,0.9,0.0
633286800,0.7,0.0
633290400,0.3,0.0
633294000,0.0,0.0
633297600,-0.3,0.0
633301200,-0.1,0.0
633304800,-0.3,0.0
633308400,0.3,0.0
633312000,1.5,0.0
633315600,3.2,0.0
633319200,3.6,0.0
633322800,4.5,0.0
633326400,4.8,0.0
633330000,4.7,0.0
633333600,4.8,0.0
633337200,4.8,0.0
633340800,4.7,0.0
633344400,4.0,0.0
633348000,3.7,0.0
633351600,3.0,0.0
633355200,2.4,0.0
633358800,1.9,0.0
633362400,1.7,0.0
633366000,1.2,0.0
633369600,0.2,0.0
633373200,0.1,0.0
633376800,-0.4,0.0
633380400,-0.7,0.0
633384000,-0.9,0.0
633387600,-1.3,0.0
633391200,-1.2,0.0
633394800,-0.9,0.0
633398400,0.5,0.0
633402000,2.5,0.0
633405600,3.7,0.0
633409200,5.4,0.0
633412800,6.1,0.0
633416400,6.3,0.0
633420000,6.1,0.0
633423600,5.4,0.0
633427200,4.8,0.0
633430800,4.2,0.0
633434400,3.5,0.0
633438000,3.0,0.0
633441600,2.5,0.0
633445200,1.7,0.0
633448800,1.5,0.0
633452400,1.0,0.0
633456000,0.7,0.0
633459600,0.1,0.0
633463200,-0.1,0.0
633466800,-0.1,0.0
633470400,-0.5,0.0
633474000,-0.6,0.0
633477600,-0.4,0.0
633481200,0.7,0.0
633484800,2.0,0.0
633488400,4.0,0.0
633492000,5.0,0.0
633495600,5.6,0.0
633499200,6.6,0.0
633502800,6.4,0.0
633506400,6.8,0.0
633510000,6.8,0.0
633513600,6.6,0.0
633517200,6.5,0.0
633520800,6.2,0.0
633524400,5.4,0.0
633528000,5.0,0.0
633531600,4.7,0.0
633535200,3.7,0.0
633538800,3.2,0.0
633542400,2.7,0.0
633546000,2.4,0.0
633549600,1.9,0.0
633553200,1.8,0.0
633556800,1.7,0.0
633560400,1.9,0.0
633564000,1.6,0.0
633567600,2.4,0.0
633571200,2.4,0.0
633574800,2.6,0.0
633578400,2.3,0.0
633582000,3.2,0.0
633585600,5.0,0.0
633589200,5.3,0.0
633592800,6.1,0.0
633596400,6.6,0.0
633600000,6.4,0.0
633603600,6.3,0.0
633607200,6.2,0.0
633610800,5.7,0.0
633614400,5.5,0.0
633618000,5.4,0.0
633621600,4.6,0.0
633625200,4.5,0.0
633628800,4.2,0.0
633632400,3.6,0.0
633636000,3.4,0.0
633639600,3.3,0.0
633643200,3.3,0.0
633646800,4.1,0.0
633650400,5.5,0.0
633654000,8.6,0.0
633657600,9.6,0.0
633661200,10.5,0.0
633664800,10.8,0.0
633668400,11.2,0.0
633672000,11.9,0.0
633675600,11.3,0.0
633679200,10.4,0.0
633682800,9.7,0.0
633686400,9.1,0.0
633690000,8.2,0.0
633693600,7.5,0.0
633697200,6.7,0.0
633700800,5.8,0.0
633704400,4.9,0.0
633708000,4.4,0.0
633711600,4.0,0.0
633715200,3.3,0.0
633718800,2.6,0.0
633722400,2.1,0.0
633726000,2.1,0.0
633729600,1.7,0.0
633733200,1.1,1.0
633736800,0.9,0.5
633740400,0.9,0.0
633744000,1.1,0.5
633747600,0.9,0.5
633751200,1.2,1.0
633754800,1.7,0.0
633758400,1.5,0.5
633762000,1.8,0.0
633765600,1.7,0.0
633769200,2.0,0.0
633772800,2.0,0.0
633776400,1.9,0.5
633780000,1.6,0.0
633783600,1.4,0.0
633787200,1.2,1.0
633790800,1.0,1.0
633794400,1.0,0.5
633798000,1.0,1.0
633801600,0.7,1.0
633805200,0.6,1.5
633808800,0.6,1.0
633812400,0.6,2.0
633816000,0.5,2.5
633819600,0.5,2.5
633823200,0.5,2.0
633826800,0.6,2.5
633830400,0.7,1.5
633834000,0.6,2.0
633837600,0.7,0.5
633841200,0.8,0.5
633844800,1.1,1.0
633848400,1.2,0.5
633852000,1.3,0.0
633855600,1.4,0.5
633859200,1.4,0.0
633862800,1.2,0.5
633866400,1.2,0.5
633870000,1.3,0.5
633873600,1.4,0.0
633877200,1.3,0.0
633880800,1.4,0.0
633884400,1.4,0.0
633888000,1.2,0.0
633891600,0.8,0.0
633895200,0.8,0.0
633898800,0.8,0.0
633902400,0.3,0.0
633906000,0.2,0.0
633909600,0.2,0.0
633913200,0.6,0.0
633916800,1.5,0.0
633920400,2.6,0.0
633924000,3.5,0.0
633927600,4.2,0.0
633931200,4.8,0.0
633934800,4.4,0.0
633938400,4.4,0.0
633942000,4.4,0.0
633945600,4.0,0.0
633949200,4.1,0.0
633952800,3.9,0.0
633956400,3.4,0.0
633960000,3.4,0.0
633963600,3.0,0.0
633967200,2.9,0.0
633970800,3.5,0.0
633974400,2.1,0.0
633978000,1.5,0.0
633981600,0.9,0.0
633985200,0.5,0.0
633988800,0.8,0.0
633992400,0.9,0.0
633996000,1.4,0.0
633999600,1.6,0.0
634003200,2.4,0.0
634006800,2.6,0.0
634010400,3.4,0.0
634014000,4.8,0.0
634017600,4.8,0.0
634021200,5.3,0.0
634024800,5.0,0.0
634028400,4.9,0.0
634032000,4.4,0.0
634035600,3.9,0.5
634039200,3.6,1.0
634042800,3.5,1.0
634046400,3.2,1.0
634050000,2.9,0.5
634053600,2.8,0.0
634057200,2.9,1.0
634060800,3.0,0.5
634064400,3.2,0.5
634068000,3.2,0.0
634071600,3.1,0.0
634075200,3.1,0.5
634078800,3.8,0.0
634082400,3.9,0.0
634086000,4.5,0.0
634089600,4.5,0.0
634093200,4.6,0.0
634096800,5.1,0.0
634100400,5.5,0.0
634104000,5.7,0.0
634107600,5.6,0.0
634111200,5.7,0.0
634114800,5.4,0.0
634118400,5.0,0.0
634122000,4.8,0.0
634125600,5.0,0.0
634129200,4.8,0.0
634132800,4.7,0.0
634136400,4.7,0.0
634140000,4.3,0.0
634143600,4.1,0.5
634147200,3.5,0.0
634150800,3.3,0.0
634154400,3.2,0.0
634158000,2.8,0.0
634161600,2.4,0.0
634165200,2.3,0.5
634168800,2.2,0.0
634172400,1.9,0.5
634176000,2.4,0.0
634179600,2.3,0.5
634183200,2.9,0.5
634186800,3.4,0.0
634190400,3.9,0.0
634194000,4.0,0.0
634197600,4.9,0.0
634201200,5.5,0.0
634204800,5.5,0.0
634208400,5.6,0.0
634212000,5.4,0.0
634215600,5.5,0.0
634219200,5.2,0.0
634222800,4.5,0.0
634226400,4.1,0.0
634230000,3.7,0.0
634233600,3.5,0.0
634237200,3.0,0.0
634240800,3.0,0.0
634244400,2.9,0.0
634248000,2.9,0.0
634251600,2.9,0.0
634255200,2.5,0.0
634258800,3.1,0.0
634262400,3.5,0.0
634266000,5.0,0.0
634269600,6.0,0.0
634273200,6.8,0.0
634276800,7.0,0.0
634280400,7.1,0.0
634284000,7.2,0.0
634287600,7.3,0.0
634291200,7.3,0.0
634294800,6.7,0.0
634298400,6.6,0.0
634302000,6.1,0.0
634305600,5.9,0.0
634309200,5.7,0.0
634312800,5.6,0.0
634316400,5.2,0.0
634320000,5.2,0.0
634323600,4.8,0.0
634327200,4.9,0.0
634330800,4.9,0.0
634334400,4.8,0.0
634338000,4.9,0.0
634341600,5.1,0.0
634345200,5.2,0.0
634348800,5.5,0.0
634352400,5.5,0.0
634356000,5.7,0.0
634359600,6.2,0.0
634363200,6.8,0.0
634366800,7.3,0.0
634370400,7.8,0.0
634374000,8.2,0.0
634377600,8.1,0.0
634381200,8.0,0.0
634384800,7.9,0.0
634388400,8.1,0.0
634392000,8.2,0.0
634395600,7.7,0.0
634399200,7.9,0.0
634402800,7.7,0.0
634406400,7.3,0.0
634410000,6.7,0.0
634413600,6.1,0.0
634417200,5.6,0.0
634420800,5.5,0.0
634424400,6.0,0.0
634428000,5.9,0.0
634431600,6.0,0.0
634435200,6.5,0.0
634438800,8.2,0.0
634442400,9.4,0.0
634446000,9.8,0.0
634449600,11.0,0.0
634453200,10.5,0.0
634456800,11.0,0.0
634460400,10.9,0.0
634464000,10.4,0.0
634467600,9.7,0.0
634471200,8.7,0.0
634474800,8.2,0.0
634478400,8.0,0.0
634482000,7.5,0.0
634485600,7.2,0.0
634489200,6.8,0.0
634492800,6.2,0.0
634496400,5.6,0.0
634500000,5.0,0.0
634503600,4.4,0.0
634507200,4.2,0.0
634510800,3.8,0.0
634514400,3.3,0.0
634518000,2.7,0.0
634521600,2.7,0.5
634525200,4.2,0.0
634528800,5.3,0.0
634532400,6.1,0.0
634536000,6.0,0.0
634539600,7.1,0.0
634543200,6.9,0.0
634546800,7.1,0.0
634550400,7.1,0.0
634554000,7.1,0.0
634557600,6.5,0.0
634561200,5.9,0.0
634564800,5.6,0.0
634568400,5.1,0.0
634572000,4.7,0.0
634575600,4.5,0.0
634579200,4.1,0.0
634582800,4.2,0.0
634586400,3.7,0.0
634590000,2.7,0.0
634593600,2.7,0.0
634597200,2.1,0.0
634600800,1.6,0.0
634604400,2.0,0.0
634608000,3.5,0.0
634611600,4.0,0.0
634615200,5.2,0.0
634618800,5.3,0.0
634622400,5.7,0.0
634626000,6.2,0.0
634629600,6.4,0.0
634633200,6.7,0.0
634636800,6.8,0.0
634640400,6.9,0.0
634644000,6.6,0.0
634647600,7.1,0.0
634651200,7.1,0.0
634654800,6.8,0.0
634658400,7.0,0.0
634662000,6.7,0.0
634665600,6.6,0.0
634669200,6.9,0.0
634672800,7.0,0.0
634676400,7.3,0.0
634680000,7.6,0.0
634683600,7.3,0.0
634687200,7.5,0.5
634690800,15.4,0.0
634694400,15.7,0.5
634698000,16.3,0.0
634701600,16.7,0.0
634705200,16.5,0.0
634708800,16.7,0.0
634712400,16.1,1.5
634716000,16.3,0.5
634719600,10.3,1.5
634723200,10.4,2.0
634726800,10.1,0.0
634730400,10.0,0.0
634734000,10.1,0.0
634737600,10.1,0.0
634741200,9.2,0.0
634744800,10.3,0.0
634748400,10.4,0.0
634752000,10.2,0.0
634755600,9.9,0.0
634759200,9.7,0.0
634762800,9.7,0.0
634766400,9.5,0.0
634770000,9.4,0.0
634773600,9.7,0.0
634777200,9.6,0.0
634780800,10.5,0.0
634784400,11.6,0.0
634788000,12.8,0.0
634791600,14.1,0.0
634795200,14.2,0.0
634798800,14.1,0.0
634802400,13.9,0.0
634806000,13.5,0.0
634809600,13.4,0.0
634813200,13.1,0.0
634816800,12.6,0.0
634820400,11.3,0.0
634824000,10.1,0.0
634827600,9.1,0.0
634831200,8.7,0.0
634834800,7.8,0.0
634838400,7.3,0.0
634842000,6.9,0.0
634845600,6.7,0.0
634849200,6.3,0.0
634852800,6.3,0.0
634856400,6.0,0.0
634860000,5.7,0.0
634863600,6.1,0.0
634867200,6.9,0.0
634870800,8.0,0.0
634874400,8.9,0.0
634878000,9.8,0.0
634881600,10.7,0.0
634885200,10.7,0.0
634888800,10.7,0.0
634892400,10.9,0.0
634896000,9.9,0.0
634899600,10.2,0.0
634903200,8.7,0.0
634906800,7.8,0.0
634910400,7.2,0.0
634914000,7.4,0.0
634917600,7.0,0.0
634921200,6.6,0.0
634924800,6.3,0.0
634928400,6.0,0.0
634932000,5.6,0.0
634935600,5.5,0.0
634939200,5.5,0.0
634942800,5.2,0.0
634946400,5.4,0.0
634950000,5.0,0.0
634953600,5.2,0.0
634957200,5.9,0.0
634960800,6.3,0.0
634964400,6.1,0.0
634968000,6.1,0.0
634971600,5.3,0.0
634975200,4.8,0.0
634978800,4.3,1.0
634982400,3.3,1.5
634986000,2.6,1.0
634989600,2.8,0.5
634993200,2.8,1.0
634996800,2.7,1.0
635000400,2.4,1.5
635004000,2.3,0.5
635007600,2.1,0.5
635011200,2.0,0.5
635014800,2.2,0.5
635018400,2.1,0.5
635022000,2.1,0.5
635025600,2.2,0.5
635029200,2.1,0.5
635032800,2.0,1.0
635036400,2.2,0.0
635040000,2.8,0.0
635043600,2.9,0.0
635047200,3.7,0.0
635050800,4.2,0.0
635054400,4.5,0.0
635058000,5.3,0.0
635061600,5.9,0.5
635065200,6.3,0.0
635068800,6.4,0.0
635072400,6.1,0.0
635076000,6.2,0.0
635079600,6.2,0.0
635083200,5.9,0.0
635086800,6.1,0.0
635090400,6.2,0.0
635094000,6.1,0.0
635097600,6.2,0.0
635101200,5.7,0.0
635104800,5.8,0.0
635108400,6.2,0.0
635112000,6.1,0.0
635115600,6.3,0.0
635119200,5.9,0.0
635122800,6.1,0.5
635126400,6.1,0.0
635130000,6.1,0.0
635133600,6.5,1.0
635137200,7.0,2.5
635140800,7.2,1.5
635144400,6.3,1.0
635148000,6.1,2.5
635151600,6.2,2.0
635155200,6.1,1.0
635158800,6.1,1.5
635162400,6.3,0.5
635166000,6.3,0.0
635169600,6.5,0.0
635173200,6.4,0.0
635176800,6.2,0.0
635180400,6.1,0.0
635184000,5.9,0.0
635187600,5.6,0.0
635191200,5.6,0.0
635194800,5.6,0.0
635198400,5.3,0.0
635202000,5.0,0.0
635205600,5.2,0.0
635209200,6.7,0.0
635212800,8.0,0.0
635216400,9.3,0.0
635220000,10.8,0.0
635223600,11.9,0.0
635227200,12.4,0.0
635230800,12.7,0.0
635234400,12.7,0.0
635238000,11.3,0.0
635241600,11.1,0.0
635245200,10.1,0.0
635248800,10.0,0.0
635252400,9.6,0.0
635256000,8.2,0.0
635259600,8.1,0.0
635263200,8.3,0.0
635266800,7.4,0.0
635270400,7.1,0.0
635274000,7.0,0.0
635277600,6.4,0.0
635281200,5.5,0.0
635284800,5.4,0.0
635288400,5.5,0.0
635292000,5.5,0.0
635295600,5.8,0.0
635299200,7.4,0.0
635302800,9.1,0.0
